date | value
2001-42-42
2001-42-42 |
2009-01-01 | 1
2012-0111 | 1
20121-01-11 | 1
2011-13-03 | 1
2011-12-32 | 1
9999-12-31 | 1
2008-12-31 | 1
1990-01-01 | 1
2022-03-30 | 1
2050-01-01 | 1
2011-00-01 | 1
31-12-2020 | 1
12-31-2020 | 1
2012-01-11 | 2147483648
2011-01-09 | a
2011-01-09 | -0.01
2012-01-11 | -1
2011-01-09 | -23
2011-01-03 | 1001

2011-01-03 | 3
2011-01-03 | 2
2011-01-03 | 1.2
2011-05-09 | 1
2012-06-11 | 0.01
2009-12-01 | 1
2009-07-01 | 1000
2009-01-03 | 23.1
2009-01-02 | 124.1
2022-03-29 | 71.43
2019-06-25 | 1
2019-06-26 | 1
2010-08-19 | 1
2010-08-20 | 1
2011-01-03 | 3
2011-01-03 | 2
2011-01-03| 1
2011-01-03| 1.2
2011-01-09 | 1
2011-01-18 | 1
2011-01-19 | 1
2017-09-18 | 3.4028234664
2022-03-19 | 4.4028234664
